Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
PATRIS;PTPRS0AM0017;ALPTR;"Euronext Growth Lisbon";EUR;1,95242;1,95242;1,95242;1,95242;"20/05/2019 15:30";BST;460;900,00
"PAULIC MEUNERIE";FR0013479730;ALPAU;"Euronext Growth Paris";EUR;2,825;2,825;2,75;2,75;"21/02/2023 17:26";CET;7823;21928,78
"PETRONEFT RES.";IE00B0Q82B24;P8ET;"Euronext Growth Dublin";EUR;0,006;0,006;0,006;0,006;"24/01/2023 12:31";IST;5000;30,00
PHARMASIMPLE;BE0974429624;ALPHS;"Euronext Growth Paris";EUR;0,67;0,7189;0,60;0,6199;"21/02/2023 17:35";CET;125163;80503,62
PHARNEXT;FR001400BV89;ALPHA;"Euronext Growth Paris";EUR;0,001;0,0011;0,0009;0,0011;"21/02/2023 17:27";CET;19624687;20100,74
"PHERECYDES PHARMA";FR0011651694;ALPHE;"Euronext Growth Paris";EUR;2,55;2,72;2,49;2,65;"21/02/2023 17:35";CET;11848;30987,56
"PISCINES DESJOYAUX";FR0000061608;ALPDX;"Euronext Growth Paris";EUR;15,70;15,72;15,20;15,40;"21/02/2023 16:41";CET;6904;106895,22
"PIXIUM VISION";FR0011950641;ALPIX;"Euronext Growth Paris";EUR;0,064;0,0644;0,063;0,063;"21/02/2023 17:35";CET;202411;12911,85
"PLANT ADVANCED";FR0010785790;ALPAT;"Euronext Growth Paris";EUR;12,65;12,65;12,65;12,65;"21/02/2023 09:00";CET;1;12,65
"PLANT ADVANCED BS";FR0011844067;PATBS;"Euronext Growth Paris";EUR;0,02;0,02;0,02;0,02;"03/01/2023 16:25";CET;970;19,40
POUJOULAT;FR0000066441;ALPJT;"Euronext Growth Paris";EUR;29,00;30,00;29,00;29,80;"21/02/2023 17:35";CET;1447;42815,40
POULAILLON;FR0013015583;ALPOU;"Euronext Growth Paris";EUR;4,58;4,64;4,57;4,57;"21/02/2023 17:29";CET;120;548,72
